dept,insee,cp,nom,priorite
"89","89412","89420",Thizy,"7"
"17","17180","17490",Gourvillette,"7"
"17","17451","17160",Les Touches-de-PÃ©rigny,"7"
"55","55222","55400",Gussainville,"7"
"55","55072","55400",Braquis,"7"
"55","55094","55400",Buzy-Darmont,"7"
"55","55399","55160",Pareid,"7"
"55","55242","55160",Hennemont,"7"
"55","55400","55400",Parfondrupt,"7"
"55","55556","55150",Ville-devant-Chaumont,"7"
"55","55339","55400",Mogeville,"7"
"55","55325","55400",Maucourt-sur-Orne,"7"
"55","55024","55150",Azannes-et-Soumazannes,"7"
"55","55050","55100",Bezonvaux,"7"
"55","55357","55400",Morgemoulin,"7"
"97","97218","97260",Le Morne-Rouge,"7"
"1","1153","1170",Echenevex,"2"
"1","1135","1170",Crozet,"2"
"60","60451","60290",Neuilly-sous-Clermont,"3"
"60","60524","60290",Rantigny,"4"
"55","55055","55400",BlanzÃ©e,"7"
"55","55219","55400",Grimaucourt-en-WoÃ«vre,"7"
"55","55515","55160",TrÃ©sauvaux,"7"
"55","55121","55160",Combres-sous-les-CÃ´tes,"7"
"21","21059","21490",Bellefond,"5"
"54","54165","54130",Dommartemont,"1"
"54","54153","54470",Dampvitoux,"7"
"54","54470","54470",Saint-Baussant,"7"
"54","54182","54470",Essey-et-Maizerais,"7"
"55","55270","55300",Lahayville,"7"
"85","85080","85200",Doix-lÃ¨s-Fontaines,"7"
"55","55386","55210",Nonsard-Lamarche,"7"
"54","54416","54470",Pannes,"7"
"55","55046","55210",Beney-en-WoÃ«vre,"7"
"79","79055","79170",Brieuil-sur-ChizÃ©,"7"
"54","54057","54470",Beaumont,"7"
"54","54466","54200",Royaumeix,"7"
"54","54499","54470",Seicheprey,"7"
"55","55412","55300",Rambucourt,"7"
"54","54343","54470",Mandres-aux-Quatre-Tours,"7"
"55","55431","55300",Richecourt,"7"
"54","54306","54570",Lay-Saint-Remy,"7"
"88","88293","88630",Maxey-sur-Meuse,"7"
"57","57178","57660",Diffembach-lÃ¨s-Hellimer,"7"
"88","88255","88630",Jubainville,"7"
"54","54548","54112",Vannes-le-ChÃ¢tel,"6"
"54","54080","54113",BlÃ©nod-lÃ¨s-Toul,"6"
"88","88107","88630",ClÃ©rey-la-CÃ´te,"7"
"54","54120","54113",Charmes-la-CÃ´te,"7"
"54","54496","54170",Saulxures-lÃ¨s-Vannes,"7"
"55","55456","55140",Saint-Germain-sur-Meuse,"7"
"54","54379","54170",Mont-l'Etroit,"7"
"55","55433","55140",Rigny-la-Salle,"7"
"55","55434","55140",Rigny-Saint-Martin,"7"
"55","55522","55140",Ugny-sur-Meuse,"7"
"67","67540","67590",Wintershouse,"2"
"45","45044","45170",Bougy-lez-Neuville,"7"
"45","45342","45170",Villereau,"4"
"55","55080","55140",Brixey-aux-Chanoines,"7"
"79","79050","79140",Bretignolles,"7"
"79","79091","79140",CiriÃ¨res,"7"
"54","54538","54112",Uruffe,"7"
"55","55474","55140",Sauvigny,"7"
"54","54226","54112",Gibeaumeix,"7"
"55","55097","55140",Chalaines,"7"
"55","55397","55140",Pagny-la-Blanche-CÃ´te,"7"
"88","88154","88630",DomrÃ©my-la-Pucelle,"7"
"88","88453","88630",Seraumont,"7"
"88","88102","88630",Chermisey,"7"
"55","55344","55140",Montbras,"7"
"55","55089","55140",Burey-la-CÃ´te,"7"
"55","55100","55140",Champougny,"7"
"37","37132","37600",Loches,"3"
"37","37020","37600",Beaulieu-lÃ¨s-Loches,"6"
"17","17377","17490",Saint-Ouen-la-ThÃ¨ne,"7"
"62","62095","62960",Beaumetz-lÃ¨s-Aire,"7"
"76","76176","76450",Clasville,"7"
"74","74134","74260",Les Gets,"2"
"78","78401","78250",Meulan-en-Yvelines,"2"
"78","78090","78410",Bouafle,"2"
"78","78440","78130",Les Mureaux,"2"
"78","78206","78920",Ecquevilly,"2"
"74","74091","74110",La CÃ´te-d'Arbroz,"5"
"78","78642","78480",Verneuil-sur-Seine,"2"
"74","74126","74890",Fessy,"2"
"74","74050","74420",Burdignin,"4"
"74","74276","74440",Taninges,"3"
"78","78140","78130",Chapet,"2"
"74","74150","74140",Loisin,"2"
"74","74053","74550",Cervens,"5"
"78","78403","78250",MÃ©zy-sur-Seine,"2"
"74","74037","74420",BoÃ«ge,"3"
"74","74294","74440",Verchaix,"6"
"78","78238","78410",Flins-sur-Seine,"2"
"62","62628","62221",Noyelles-sous-Lens,"2"
"78","78638","78740",Vaux-sur-Seine,"2"
"74","74043","74890",Bons-en-Chablais,"2"
"74","74174","74490",MÃ©gevette,"5"
"67","67079","67470",Croettwiller,"6"
"63","63113","63000",Clermont-Ferrand,"1"
"37","37273","37700",La Ville-aux-Dames,"2"
"59","59587","59114",Terdeghem,"6"
"59","59536","59670",Sainte-Marie-Cappel,"7"
"59","59184","59173",Ebblinghem,"5"
"59","59273","59820",Gravelines,"2"
"59","59577","59190",Staple,"6"
"59","59454","59670",OxelaÃ«re,"5"
"67","67236","67270",Kienheim,"5"
"59","59271","59760",Grande-Synthe,"2"
"60","60559","60510",La Rue-Saint-Pierre,"7"
"29","29288","29260",TrÃ©garantec,"7"
"68","68001","68600",Algolsheim,"7"
"68","68348","68800",Vieux-Thann,"3"
"79","79142","79170",JuillÃ©,"7"
"76","76128","76450",Bosville,"7"
"60","60391","60660",Maysel,"4"
"89","89024","89000",Auxerre,"2"
"89","89417","89700",Tissey,"7"
"86","86272","86540",ThurÃ©,"7"
